Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng	0.513081	10.261617	0.121831	0.000019	0.999986
specsjeng_0	0.515015	10.300292	0.122441	0.000020	0.990080
specsjeng_1	0.882751	17.655011	0.243655	0.000022	0.999981
specsjeng_2	0.513826	10.276525	0.121831	0.000019	0.999979
specsjeng_3	0.513953	10.279069	0.121831	0.000019	0.999983
specsjeng_4	0.882937	17.658748	0.243654	0.000022	0.999990
specsjeng_5	0.513640	10.272794	0.121831	0.000019	0.999985
specsjeng_6	0.513489	10.269775	0.121831	0.000019	0.999985
specsjeng_7	0.513655	10.273092	0.121831	0.000019	0.999983
specsjeng_8	0.514475	10.289506	0.122441	0.000020	0.990080
specsjeng_9	0.513081	10.261617	0.121831	0.000019	0.999986
